text [895, 149, 890, 215]-
text [695, 107, 795, 485]象曰雷在上大壮
text [607, 149, 705, 932]崔憬曰震下乾上故言雷在天上一曰雷陽
text [472, 149, 580, 932]氣也陽至于上卦能助於天成大壯之象也
text [339, 107, 447, 474]君子以非禮弗履
text [214, 149, 339, 932]陸續曰天尊雷車君子見車乘尊終始消除
text [138, 149, 230, 609]故象以爲戒非禮不履
text [48, 107, 155, 552]初九壮于趾征凶有孚
text [0, 149, 55, 414]二
text [0, 716, 55, 764]上
text [0, 834, 55, 881]上
text [0, 904, 55, 952]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
text [0, 130, 55, 999]二
